channelname;linktochannel;эксперт;компетенции
RUmerger;https://t.me/RUmerger;false;
sellerx;https://t.me/sellerx;true;Запуск продаж без денег, Анализ конкурентов, Целевая аудитория - кто эти люди, Бизнес модель и ее сходимость, MVP с минимальными затратами, Основные шаги по валидации идей: сортировка и проверка, Позиционирование продукта: рынки, аудитории, Стратегия и приоритизация развития проекта
Hour_25;https://t.me/Hour_25;false;
mosbusy;https://t.me/mosbusy;false;
from_CEO;https://t.me/from_CEO;false;
sberbusiness;https://t.me/sberbusiness;false;
kommerc;https://t.me/kommerc;false;
Biznes_360;https://t.me/Biznes_360;false;
Retailnespit;https://t.me/Retailnespit;false;
grebenukm;https://t.me/grebenukm;false;
